"MLS Number ","Close Price","Baths Full","Baths Half","Beds Total","Lot Size SqFt","Pool","Yr Built","Zip Code","Listing Contract Date","SqFt Total","DOM","Number Of Stories","Lot Size","Selling Agent Full Name","List Agent Full Name","1st Financing","Selling Office Name","List Office Name","Street Name","Street Number","Street Type"
"13219258","1999","2","1","3","6098.4","False","1997","75013","2015-08-15","2524","5","2","","Sally R. Hwang","Lihua Ada Yang","","Grand DFW Realty","Grand Ark LLC","Bellevue","1505","Court"
"13035446","2000","2","1","3","8189.28","False","1993","75025","2014-10-13","2622","249","2","Less Than .5 Acre (not Zero)","Peggy Baker Hill","Pragnesh Shah","","Keller Williams Realty Plano","Keller Williams Frisco Stars","Constitution","7605","Drive"
"13050526","2000","3","0","4","10890","False","1978","75075","2014-11-08","2210","81","1","","Sissy Tong","Linda C. Mcconnell","","Keller Williams Central","The Michael Group","Ellis","2719","Court"
"13079004","2000","2","1","4","6534","True","1989","75075","2015-01-14","2138","63","2","","Shalene Morrison","Korey Koop","","1st Leading Edge Real Estate","Korey Koop Real Estate","Ashburn","817","Place"
"13079021","2000","2","1","3","9147.6","False","1976","75075","2015-01-14","2453","64","1","Less Than .5 Acre (not Zero)","Hector Ramos","Crystal Pienaar","","Ebby Halliday, REALTORS-Coit","Coldwell Banker Residential","Brennan","2401","Drive"
"13079361","2000","2","1","4","8712","False","1986","75025","2015-01-15","2217","50","2",".5 Acre to .99 Acre","Jarrett R. Glass","Christi A. Stevens Abr","","Slingshot Realty, LLC","Coldwell Banker Res. Frisco","Iola","7809","Drive"
"13091960","2000","3","0","3","8712","False","1991","75025","2015-02-08","2835","39","2","","Peggy Baker Hill","Ron D. Moore","","Keller Williams Realty Plano","Keller Williams Realty Plano","Cannes","2117","Drive"
"13092134","2000","3","1","4","8276.4","False","1997","75025","2015-02-09","2933","53","2","","Tricia Delgado","Song Wu","","O'Malley Delgado Realty","ProLead Realty Group","Grand Mesa","3300","Drive"
"13112649","2000","2","0","3","7405.2","False","1995","75093","2015-03-24","2151","37","1","","Norma Oronoz","J.C. Posey","","Keller Williams Realty Plano","Posey Property Management,Inc","Bull Run","4829","Drive"
"13115278","2000","2","1","3","8232.84","True","1996","75025","2015-03-23","1924","12","2","Less Than .5 Acre (not Zero)","Tanya Sanchez","Stacy M. Comiskey","","Keller Williams Realty Allen","Anden Real Estate LLC","Fallkirk","7009","Drive"
